SERIE,Naruto,2002,Pierrot,FINALIZADO,5,SHONEN,220
PELICULA,El Viaje de Chihiro,2001,Studio Ghibli,FINALIZADO,5,ISEKAI,125
SERIE,Jujutsu Kaisen,2020,MAPPA,VIENDO,4,SHONEN,24
SERIE,Monster,2004,Madhouse,POR_VER,0,SEINEN,74
SERIE,Fruits Basket,2019,TMS Entertainment,FINALIZADO,5,SHOJO;SLICE_OF_LIFE,63
PELICULA,Your Name,2016,CoMix Wave Films,FINALIZADO,5,SHOJO,107
SERIE,Neon Genesis Evangelion,1995,Gainax,FINALIZADO,5,MECHA;SEINEN,26
SERIE,Re:Zero,2016,White Fox,ABANDONADO,2,ISEKAI,25
SERIE,K-On!,2009,Kyoto Animation,POR_VER,0,SLICE_OF_LIFE,13
PELICULA,Akira,1988,TMS Entertainment,FINALIZADO,4,SEINEN;MECHA,124
